,dataset_id,dataset_title,format,resource_id,resource_title,url
46,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,4dd8a9ea-785f-4e3f-8f83-3838a60ac7f5,vehicules_2010.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation-sur-6-annees/20150806-154916/vehicules_2010.csv
47,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,c5e5664d-1483-41da-a4c6-5f1727d7a353,usagers_2010.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation-sur-6-annees/20150806-155001/usagers_2010.csv
48,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,fdfacdb9-f48e-4759-bae5-48d063216acb,caracteristiques_2009.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation/20160422-111851/caracteristiques_2009.csv
49,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,0a25081b-89b6-4f7c-9d31-72ec679f0abf,lieux_2009.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation/20160422-112018/lieux_2009.csv
50,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,787ba26e-2588-47aa-b73d-346f120f9c59,vehicules_2009.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation/20160422-112123/vehicules_2009.csv
51,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,2387db3d-11ee-4df4-aa31-4c3c748244d4,usagers_2009.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation/20160422-112105/usagers_2009.csv
52,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,722ebb99-c8b2-4635-bf8d-125dd280ee42,caracteristiques_2008.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation/20160909-180939/caracteristiques_2008.csv
53,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,6d9e4024-8207-4020-ae4c-5b83504e7268,vehicules_2008.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation/20160909-180912/vehicules_2008.csv
54,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,433e26cf-d4c8-4dd9-b3f2-ecbc8a8f0509,usagers_2008.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation/20160909-180838/usagers_2008.csv
55,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,237a4d23-1b66-43fb-8832-2f89fbbc6beb,lieux_2008.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation/20160909-180956/lieux_2008.csv
56,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,6fc7b169-4dfe-442c-8c28-8bd773aeddf8,caracteristiques_2007.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation/20160909-180642/caracteristiques_2007.csv
57,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,6e905a7a-c48d-4f5c-a0bb-54b83c8dfe5f,vehicules_2007.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation/20160909-180604/vehicules_2007.csv
58,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,1d967969-c3d2-45c6-adc7-b3b72a8c6e89,lieux_2007.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation/20160909-180717/lieux_2007.csv
59,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,c5c30fc2-9bfd-4bcd-b45b-f01a31f1d087,usagers_2007.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation/20160909-180535/usagers_2007.csv
60,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,fafa33cf-50cb-4092-a819-d5209f684089,caracteristiques_2006.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation/20160909-180009/caracteristiques_2006.csv
61,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,28b1fbdc-f984-40d8-8614-236ee26adc7c,lieux_2006.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation/20160909-180201/lieux_2006.csv
62,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,c3362179-9c39-4056-9503-ce00ea6b810e,vehicules_2006.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation/20160909-180143/vehicules_2006.csv
63,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,ebb4c37e-1616-497d-b5ed-f8113bed2ae7,usagers_2006.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation/20160909-180113/usagers_2006.csv
64,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,a47866f7-ece1-4de8-8d31-3a1b4f477e08,caracteristiques_2005.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation/20160913-155958/caracteristiques_2005.csv
65,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,924b962b-4400-4468-9f7d-0bdba28f51e9,vehicules_2005.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation/20160913-160144/vehicules_2005.csv
66,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,3a3488e0-86a1-4917-b082-f3bdc25f6922,lieux_2005.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation/20160913-160102/lieux_2005.csv
67,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,cecdbd46-11f2-41fa-b0bd-e6e223de6b3c,usagers_2005.csv,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation/20160913-160125/usagers_2005.csv
69,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,5b3e137d-b54b-4b10-bb9a-6ec52410d772,Base de données agrégée des accidents corporels de la circulation sur 6 années de 2006 à 2011,http://static.data.gouv.fr/fe/fea60d07a33386148deed77f826e9fe6406eae855b8620aa4a16a78362196b.csv
72,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,8f265278-cd03-4aa4-9f71-86b60d923c06,Base de données agrégée des accidents corporels de la circulation de 2005 à 2010 pour France Métropolitaine,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation-sur-6-annees/20150806-155510/donnees_agregees_de_2005_a_2010.csv
73,53698f4ca3a729239d2036df,Base de données accidents corporels de la circulation,csv,706198f2-18a0-4663-9eb4-8011cb74b8c7,Base de données agrégée des accidents corporels de la circulation de 2005 à 2010 pour les DOM,https://www.data.gouv.fr/s/resources/base-de-donnees-accidents-corporels-de-la-circulation-sur-6-annees/20150806-160218/donnees_agregees_de_2005_a_2010_pour_les_DOM.csv
